Административный округ,Месяц,Год,Общая сумма начисленных средств по округу (рублей)
Центральный административный округ,Май,2021,1399711506.75
Центральный административный округ,Сентябрь,2021,1374895973.6
Центральный административный округ,Февраль,2022,1503652101.24
Центральный административный округ,Март,2022,1501570468.92
Центральный административный округ,Апрель,2022,1459960987.87
Центральный административный округ,Май,2022,1458476253.55
Центральный административный округ,Июнь,2022,1466787337.45
Центральный административный округ,Июль,2022,1477779057.44
Центральный административный округ,Август,2022,1500253073.74
Центральный административный округ,Сентябрь,2022,1485758137.79
Центральный административный округ,Октябрь,2022,1511403308.44
Центральный административный округ,Ноябрь,2022,1525619546.67
Центральный административный округ,Декабрь,2022,1577877750.09
Центральный административный округ,Январь,2023,1672841174.19
Центральный административный округ,Февраль,2023,1670569499.59
Центральный административный округ,Март,2023,1680960450.37
Центральный административный округ,Апрель,2023,1679463889.27
Центральный административный округ,Май,2023,1693621275.98
Центральный административный округ,Июнь,2023,1678591457.45
Центральный административный округ,Июль,2023,1654538693.65
Центральный административный округ,Август,2023,1639782664.75
Центральный административный округ,Сентябрь,2023,1635698017.57
Центральный административный округ,Октябрь,2023,1645258741.88
Центральный административный округ,Ноябрь,2023,1740483615.58
Центральный административный округ,Декабрь,2023,1741544445.32
Центральный административный округ,Январь,2024,1773286284.27
Центральный административный округ,Февраль,2024,1795710216.88
Центральный административный округ,Март,2024,1799246409.98
Центральный административный округ,Апрель,2024,1790898781.28
Центральный административный округ,Май,2024,1791158391.35
Центральный административный округ,Июнь,2024,1782859871.12
Центральный административный округ,Июль,2024,1819215658.33
Центральный административный округ,Август,2024,1874717626.17
Центральный административный округ,Сентябрь,2024,1863198365.81
Центральный административный округ,Октябрь,2024,1881543094.17
Центральный административный округ,Ноябрь,2024,1884313837.22
Центральный административный округ,Декабрь,2024,1894235156.63
Центральный административный округ,Январь,2025,2121485813.88
Центральный административный округ,Февраль,2025,2091275188.19
Центральный административный округ,Март,2025,2108247316.03
Центральный административный округ,Апрель,2025,2094000659.18
Центральный административный округ,Май,2025,2100623797.9
Центральный административный округ,Июнь,2025,2088093785.73
Центральный административный округ,Июль,2025,2157225145.28
Центральный административный округ,Август,2025,2184243305.06
Центральный административный округ,Сентябрь,2025,2175254613.15
Центральный административный округ,Октябрь,2025,2207602218.63
Центральный административный округ,Ноябрь,2025,2218136644.58
Центральный административный округ,Декабрь,2025,2259048983.0
